Knoten;Lat;Lng
A;48,572213;13,990989
B;48,572844;13,991752
C;48,573146;13,990747
D;48,572772;13,990475
E;48,571743;13,988374
F;48,571337;13,987767
G;48,571031;13,98730
H;48,570781;13,986987
I;48,56951;13,98522
J;48,569031;13,984618
K;48,570706;13,993732
L;48,570207;13,99405
M;48,569446;13,994492
N;48,569019;13,994589
O;48,568321;13,994757
P;48,569778;13,994979
Q;48,569167;13,99650
R;48,569162;13,99650
S;48,570651;13,997188
T;48,570659;13,995585
U;48,572017;13,995952
V;48,571923;13,994377
W;48,573314;13,992847
X;48,572253;13,994467
Y;48,572763;13,994947
Z;48,572366;13,994305
1;48,570369;13,987645
2;48,569944;13,988337
3;48,568661;13,986786
4;48,56938;13,989046
5;48,568159;13,987597
6;48,56886;13,98956
7;48,56990;13,990857
8;48,570433;13,993071
9;48,57094;13,985408
a;48,57028;13,983675
b;48,571013;13,984642
c;48,57200;13,986537
d;48,572583;13,987032
e;48,573421;13,987904
f;48,57326;13,988432
g;48,57363;13,989094
